candidate_rank,orientation,screen_A_to_D_machine_parts,part,layer_z,stage,led,filter,registered_column_1_based,sample_count,in_frame_fraction,valid_fraction,pearson_r,spearman_r,abs_spearman_r
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,B,2,mean5,34,6032,1.0,0.9481295190191764,0.3066951689450501,0.45215751494228695,0.45215751494228695
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,B,3,original,35,6355,1.0,0.9988997170701037,0.6950880323699905,0.3997886457776994,0.3997886457776994
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,B,3,mean3,36,6355,1.0,0.9988997170701037,0.7102789870524302,0.4080691432602477,0.4080691432602477
1,mirror_rotate_90,part01;part02;part03;part04,part01,25,B,3,mean5,37,6355,1.0,0.9988997170701037,0.7257473287763823,0.42074057059527953,0.42074057059527953
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,A,1,original,20,216,1.0,0.033951587551084565,-0.04299816793658112,-0.015127204520636121,0.015127204520636121
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,A,1,mean3,21,216,1.0,0.033951587551084565,-0.005802173896202075,0.04450349524144426,0.04450349524144426
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,A,1,mean5,22,216,1.0,0.033951587551084565,0.008552362246465006,0.03570303814626275,0.03570303814626275
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,A,2,original,23,4480,1.0,0.7041810751336058,-0.10705437533317472,-0.09724432436335104,0.09724432436335104
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,A,2,mean3,24,4480,1.0,0.7041810751336058,-0.11648115650410287,-0.10480425661135956,0.10480425661135956
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,A,2,mean5,25,4480,1.0,0.7041810751336058,-0.12394717031100384,-0.11222418857306041,0.11222418857306041
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,A,3,original,26,6362,1.0,1.0,-0.004176556800102164,-0.0006956882701075121,0.0006956882701075121
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,A,3,mean3,27,6362,1.0,1.0,-0.004934248833921048,-0.0019008120660007498,0.0019008120660007498
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,A,3,mean5,28,6362,1.0,1.0,-0.005483017961323985,-0.0024114807026446626,0.0024114807026446626
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,B,1,original,29,4650,1.0,0.7309022320025149,0.25325899583340084,0.1998069922814651,0.1998069922814651
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,B,1,mean3,30,4650,1.0,0.7309022320025149,0.2564223928702848,0.20014142391775638,0.20014142391775638
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,B,1,mean5,31,4650,1.0,0.7309022320025149,0.2577966001429544,0.19952284344317633,0.19952284344317633
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,B,2,original,32,6295,1.0,0.9894687205281358,0.49613052797504426,0.5646141740327383,0.5646141740327383
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,B,2,mean3,33,6295,1.0,0.9894687205281358,0.5103793959378542,0.5775357480630162,0.5775357480630162
1,mirror_rotate_90,part01;part02;part03;part04,part02,25,B,2,mean5,34,6295,1.0,0.9894687205281358,0.5233049920206726,0.592136146359475,0.592136146359475
