part,layer_z,finite_xct5,in_fov,unique_pixels,in_fov_fraction,collision_fraction
part03,144,3911,3911,3841,1.0,0.017898235745333668
part03,145,4033,4033,3877,1.0,0.03868088271757997
part03,146,3993,3993,3885,1.0,0.02704733283245675
part03,147,4037,4037,3898,1.0,0.03443150854595001
part03,148,3993,3993,3895,1.0,0.02454295016278485
part03,149,4064,4064,3918,1.0,0.03592519685039375
part03,150,4065,4065,3934,1.0,0.03222632226322264
part03,151,4129,4129,3953,1.0,0.04262533301041416
part03,152,4064,4064,3944,1.0,0.029527559055118058
part03,153,4159,4159,3978,1.0,0.04352007694157245
part03,154,4102,4102,3987,1.0,0.028035104826913737
part03,155,4160,4160,3999,1.0,0.038701923076923106
part03,156,4102,4102,4006,1.0,0.023403217942467136
part03,157,4191,4191,4035,1.0,0.03722261989978526
part04,1,0,0,0,nan,nan
part04,2,0,0,0,nan,nan
part04,3,0,0,0,nan,nan
part04,4,0,0,0,nan,nan
part04,5,0,0,0,nan,nan
part04,6,0,0,0,nan,nan
part04,7,0,0,0,nan,nan
part04,8,0,0,0,nan,nan
part04,9,0,0,0,nan,nan
part04,10,0,0,0,nan,nan
part04,11,0,0,0,nan,nan
part04,12,0,0,0,nan,nan
part04,13,0,0,0,nan,nan
part04,14,0,0,0,nan,nan
part04,15,0,0,0,nan,nan
part04,16,0,0,0,nan,nan
part04,17,0,0,0,nan,nan
part04,18,0,0,0,nan,nan
part04,19,0,0,0,nan,nan
part04,20,0,0,0,nan,nan
part04,21,6362,6362,6264,1.0,0.015403961018547574
part04,22,6303,6303,6255,1.0,0.007615421227986641
part04,23,6362,6362,6264,1.0,0.015403961018547574
part04,24,6303,6303,6254,1.0,0.007774075836903038
part04,25,6362,6362,6264,1.0,0.015403961018547574
part04,26,6308,6308,6256,1.0,0.008243500317057673
part04,27,6212,6212,6091,1.0,0.01947842884739215
part04,28,6043,6043,5983,1.0,0.009928843289756739
part04,29,6079,6079,5923,1.0,0.025662115479519687
part04,30,5928,5928,5843,1.0,0.014338731443994557
part04,31,5950,5950,5819,1.0,0.02201680672268913
part04,32,5818,5818,5750,1.0,0.011687865245788909
part04,33,5887,5887,5726,1.0,0.027348394768133222
part04,34,5744,5744,5680,1.0,0.011142061281337101
part04,35,5759,5759,5642,1.0,0.020316027088036148
part04,36,5670,5670,5599,1.0,0.012522045855379194
part04,37,5695,5695,5578,1.0,0.020544337137840207
part04,38,5600,5600,5538,1.0,0.011071428571428621
part04,39,5635,5635,5518,1.0,0.020763087843833183
part04,40,5562,5562,5476,1.0,0.01546206400575334
part04,41,5632,5632,5465,1.0,0.029651988636363646
part04,42,5521,5521,5432,1.0,0.016120268067379095
part04,43,5567,5567,5420,1.0,0.026405604454823095
part04,44,5448,5448,5379,1.0,0.012665198237885478
part04,45,5503,5503,5370,1.0,0.024168635289841922
part04,46,5410,5410,5331,1.0,0.014602587800369715
part04,47,5440,5440,5319,1.0,0.022242647058823506
part04,48,5372,5372,5299,1.0,0.013588979895755804
part04,49,5439,5439,5287,1.0,0.02794631366059941
part04,50,5340,5340,5253,1.0,0.016292134831460636
part04,51,3781,3781,3641,1.0,0.0370272414705104
part04,52,3684,3684,3606,1.0,0.021172638436482094
part04,53,3808,3808,3629,1.0,0.04700630252100846
part04,54,3678,3678,3603,1.0,0.020391517128874437
part04,55,3745,3745,3611,1.0,0.03578104138851801
part04,56,3640,3640,3574,1.0,0.01813186813186818
part04,57,3776,3776,3592,1.0,0.048728813559322015
part04,58,3678,3678,3575,1.0,0.02800435019032088
part04,59,3712,3712,3577,1.0,0.036368534482758674
part04,60,3605,3605,3543,1.0,0.017198335644937557
part04,61,3743,3743,3569,1.0,0.046486775313919315
part04,62,3647,3647,3565,1.0,0.02248423361667129
part04,63,3684,3684,3552,1.0,0.03583061889250816
part04,64,3646,3646,3538,1.0,0.029621503017004946
part04,65,3713,3713,3544,1.0,0.045515755453810924
part04,66,3606,3606,3521,1.0,0.023571824736550173
